127.0.0.1, 2013-11-02 22:49:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2013-11-02 22:49:40, GET, /qastack, HTTP/1.1, 200, 5.550897
127.0.0.1, 2013-11-02 22:49:40, HEAD, /qastack, HTTP/1.1, 200, 5.224361
127.0.0.1, 2013-11-02 22:49:40, GET, /qastack/static/css/qastack_stylesheet.css, HTTP/1.1, 304, 0.000269
127.0.0.1, 2013-11-02 22:49:40, GET, /qastack/static/images/qastack_logo.png, HTTP/1.1, 304, 0.000446
127.0.0.1, 2013-11-02 22:49:40, GET, /qastack/static/images/favicon.ico, HTTP/1.1, 404, 0.000340
127.0.0.1, 2013-11-02 22:49:45, GET, /qastack/default/index, HTTP/1.1, 200, 0.027073
127.0.0.1, 2013-11-02 22:49:51, GET, /qastack/members/login, HTTP/1.1, 200, 0.064127
127.0.0.1, 2013-11-02 22:49:56, POST, /qastack/members/login, HTTP/1.1, 200, 0.035762
127.0.0.1, 2013-11-02 22:49:58, POST, /qastack/members/login, HTTP/1.1, 200, 0.042642
127.0.0.1, 2013-11-02 22:49:58, POST, /qastack/members/login, HTTP/1.1, 200, 0.049230
127.0.0.1, 2013-11-02 22:50:01, POST, /qastack/members/login, HTTP/1.1, 200, 0.025601
127.0.0.1, 2013-11-02 22:50:24, GET, /admin, HTTP/1.1, 500, 0.035090
127.0.0.1, 2013-11-02 22:50:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2013-11-02 22:50:25, HEAD, /admin, HTTP/1.1, 500, 0.028579
127.0.0.1, 2013-11-02 22:50:26, GET, /admin/default/ticket/admin/127.0.0.1.2013-11-02.22-50-24.dcb38980-0087-42a4-a509-800b4d8b39d2, HTTP/1.1, 303, 0.002663
127.0.0.1, 2013-11-02 22:50:26, GET, /admin/default/index, HTTP/1.1, 500, 0.028313
127.0.0.1, 2013-11-02 22:50:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2013-11-02 22:51:03, GET, /, HTTP/1.1, 303, 0.000887
127.0.0.1, 2013-11-02 22:51:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.067558
127.0.0.1, 2013-11-02 22:51:03, HEAD, /, HTTP/1.1, 303, 0.000342
127.0.0.1, 2013-11-02 22:51:03, HEAD, /welcome/default/index, HTTP/1.1, 200, 0.012896
127.0.0.1, 2013-11-02 22:51:10, GET, /admin/default/index, HTTP/1.1, 500, 0.130250
127.0.0.1, 2013-11-02 22:51:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2013-11-02 22:51:12, GET, /admin/default/ticket/admin/127.0.0.1.2013-11-02.22-51-10.637b7c4f-f9b8-46fc-905b-92786b654ca2, HTTP/1.1, 303, 0.002939
127.0.0.1, 2013-11-02 22:51:12, GET, /admin/default/index, HTTP/1.1, 500, 0.031839
127.0.0.1, 2013-11-02 22:51:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
